lyhenne;tieteellinen;suomalainen;ruotsalainen
OXYJAM;Oxyura jamaicensis;kuparisorsa;amerikansk kopparand
XV;hybrida Anatidae;vesilinturisteymä;sjöfågelhybrid
V;Anatidae sp;vesilintu;sjöfågel
IV;magnus Anatidae;iso vesilintu;stor sjöfågel
PV;parvus Anatidae;pieni vesilintu;liten sjöfågel
TETBON;Tetrastes bonasia;pyy;järpe
LAGSP;Lagopus sp;riekkolaji;Lagopus (släktet)
LAGLAG;Lagopus lagopus;riekko;dalripa
LAGMUT;Lagopus muta;kiiruna;fjällripa
TETSP;Tetrao sp;metsolaji;Tetrao (släktet)
TETRIX;Tetrao tetrix;teeri;orre
TETRIXXTETURO;Tetrao tetrix X Tetrao urogallus;teeri X metso;orre X tjäder
TETURO;Tetrao urogallus;metso;tjäder
ALECHU;Alectoris chukar;vuoripyy;berghöna
PERPER;Perdix perdix;peltopyy;rapphöna
COTSP;Coturnix sp;viiriäislaji;Coturnix (släktet)
COTCOT;Coturnix coturnix;viiriäinen;vaktel
COTJAP;Coturnix japonica;japaninviiriäinen;japansk vaktel
PHACOL;Phasianus colchicus;fasaani;fasan
CHRPIC;Chrysolophus pictus;kultafasaani;guldfasan
NUMMEL;Numida meleagris;helmikana;hjälmpärlhöna
GAVSP;Gavia sp;kuikkalaji;Gavia (släktet)
GAVSTE;Gavia stellata;kaakkuri;smålom
GAVARC;Gavia arctica;kuikka;storlom
GAVPAC;Gavia pacifica;tundrakuikka;Stillahavslom
GAVIMM;Gavia immer;amerikanjääkuikka;svartnäbbad islom
GAVIMM/GAVADA;Gavia immer / Gavia adamsii;amerikanjääkuikka / jääkuikka;svartnäbbad islom / vitnäbbad islom
GAVADA;Gavia adamsii;jääkuikka;vitnäbbad islom
TACRUF;Tachybaptus ruficollis;pikku-uikku;smådopping
PODSP;Podiceps sp;uikkulaji;Podiceps (släktet)
PODCRI;Podiceps cristatus;silkkiuikku;skäggdopping
PODCRI/PODGRI;Podiceps cristatus / Podiceps grisegena;silkkiuikku / härkälintu;skäggdopping / gråhakedopping
PODGRI;Podiceps grisegena;härkälintu;gråhakedopping
PODAUR;Podiceps auritus;mustakurkku-uikku;svarthakedopping
PODAUR/PODNIG;Podiceps auritus / Podiceps nigricollis;mustakurkku-uikku / mustakaulauikku;svarthakedopping / svarthalsad dopping
PODNIG;Podiceps nigricollis;mustakaulauikku;svarthalsad dopping
FULGLA;Fulmarus glacialis;myrskylintu;stormfågel
PUFSP;Puffinus sp;liitäjälaji;Puffinus (släktet)
PUFGRI;Puffinus griseus;nokiliitäjä;grålira
PUFGRI/PUFPUF;Puffinus griseus / Puffinus puffinus;nokiliitäjä / pikkuliitäjä;grålira / mindre lira
PUFPUF;Puffinus puffinus;pikkuliitäjä;mindre lira
HYDPEL;Hydrobates pelagicus;merikeiju;stormsvala
HYDPEL/OCELEU/OCECAS;Hydrobates pelagicus / Oceanodroma leucorhoa / Oceanodroma castro;merikeiju / myrskykeiju / madeirankeiju;stormsvala / klykstjärtad stormsvala / oceanlöpare
OCEMASP;Oceanodroma sp;keijulaji;Oceanodroma (släktet)
OCELEU;Oceanodroma leucorhoa;myrskykeiju;klykstjärtad stormsvala
OCECAS;Oceanodroma castro;madeirankeiju;oceanlöpare
MORBAS;Morus bassanus;suula;havssula
PHAAXSP;Phalacrocorax sp;merimetsolaji;Phalacrocorax (släktet)
PHACAR;Phalacrocorax carbo;merimetso;storskarv
PHACARCAR;Phalacrocorax carbo carbo;merimetso (alalaji carbo);storskarv (rasen carbo)
PHACARSIN;Phalacrocorax carbo sinensis;merimetso (alalaji sinensis);storskarv (rasen sinensis)
PHAARI;Phalacrocorax aristotelis;karimetso;toppskarv
PELECSP;Pelecanus sp;pelikaanilaji;Pelecanus (släktet)
PELONO;Pelecanus onocrotalus;pelikaani;vit pelikan
BOTSP;Botaurus sp;kaulushaikaralaji;Botaurus (släktet)
BOTSTE;Botaurus stellaris;kaulushaikara;rördrom
IXOMIN;Ixobrychus minutus;pikkuhaikara;dvärgrördrom
NYCNYC;Nycticorax nycticorax;yöhaikara;natthäger
ARDEOSP;Ardeola sp;rääkkähaikaralaji;Ardeola (släktet)
ARDRAL;Ardeola ralloides;rääkkähaikara;rallhäger
ARDBAC;Ardeola bacchus;kiinanriisihaikara;Bacchushäger
BUBIBI;Bubulcus ibis;lehmähaikara;kohäger
EGRSP;Egretta sp;Egretta (suku);Egretta (släktet)
EGRGAR;Egretta garzetta;silkkihaikara;silkeshäger
EGRALB;Egretta alba;jalohaikara;ägretthäger
ARDSP;Ardea sp;harmaahaikaralaji;Ardea (släktet)
ARDCIN;Ardea cinerea;harmaahaikara;gråhäger
ARDPUR;Ardea purpurea;ruskohaikara;purpurhäger
ARD/BUB/EGR/ARDCIN;Ardeola sp / Bubulcus ibis / Egretta sp / Ardea cinerea albino;Valkoinen haikara;Ardeola (släktet) / kohäger / Egretta (släktet) / gråhäger (albino)
CICSP;Ciconia sp;kattohaikaralaji;Ciconia (släktet)
CICNIG;Ciconia nigra;mustahaikara;svart stork
CICABD;Ciconia abdimii;savannihaikara;abdimstork
CICCIC;Ciconia ciconia;kattohaikara;vit stork
